event_id,center_date,is_flood_event,window_n_days,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_3day_max,api_k_0_90_max,storm_wind_max,storm_wind_mean,event_duration_proxy,flood_label_in_window,severity_rank,rp,total_impact,aep
F033,2014-05-10,1,5,45.2705,36.61712,0.6537821441992806,0.5696032640790251,0,0.0,0.0,-1,25.807004714352736,49.21039271160593,3.09,2.444,0,1,0.3125,1.4545454545454546,23095.210632517403,0.4975124378109453
N031,2014-11-12,0,5,48.2653,42.42878,0.6754710903527138,0.6289257529392817,0,0.0,0.0,-2,16.707990888644453,57.68613984652413,3.84,2.4059999999999997,0,0,0.325,1.4814814814814814,23095.210632517403,0.4975124378109453
N005,1979-10-22,0,5,51.7977,24.845218,0.6977505771192355,0.2960970634025876,0,0.0,0.0,2,26.110801926280025,35.78402397288755,,,0,0,0.3375,1.509433962264151,23095.210632517403,0.4975124378109453
N034,2017-03-13,0,5,54.8363,43.915380000000006,0.7161647071455414,0.6257046223224352,0,0.0,0.0,0,36.05052543007016,60.449921623204446,2.53,2.256,0,0,0.35,1.5384615384615383,23095.210632517403,0.4975124378109453
N019,2000-12-18,0,5,55.8225,40.14872,0.7208353465399688,0.5770118644977721,0,0.0,0.0,-1,23.163003401981467,43.672930896818805,4.12,2.396,0,0,0.3625,1.5686274509803924,23095.210632517403,0.4975124378109453
N033,2016-12-06,0,5,55.8537,23.41982,0.7209964030708111,0.3465614430665164,0,0.0,0.0,2,22.700302326896416,42.05172899157856,2.15,1.552,0,0,0.375,1.6,23095.210632517403,0.4975124378109453
N002,1979-05-16,0,5,61.1097,58.33696,0.7488054973962528,0.7341064046813764,0,0.0,0.0,-2,36.46685984764621,66.3506321180069,,,0,0,0.3875,1.6326530612244896,23095.210632517403,0.4975124378109453
F015,2003-04-08,1,5,79.099,38.024080000000005,0.8149460460621678,0.4102968808718527,0,0.0,0.0,1,46.88663957166633,55.86872727330332,4.48,2.588,0,1,0.4,1.6666666666666667,23095.210632517403,0.4975124378109453
N015,1997-05-18,0,5,79.4876,62.26278,0.8165566113705911,0.7454662586567886,0,0.0,0.0,-1,26.350286371003847,74.92660259682103,2.17,1.5699999999999998,0,0,0.4125,1.702127659574468,23095.210632517403,0.4975124378109453
N020,2001-08-23,0,5,97.2411,50.98886,0.8602566167391421,0.5836044451602513,0,0.0,0.0,2,50.47721010944197,72.4165009000192,2.12,1.7399999999999998,0,0,0.425,1.7391304347826089,23095.210632517403,0.4975124378109453
N037,2018-10-03,0,5,97.2786,76.18006,0.8603103022494228,0.8009770762871101,0,0.0,0.0,-2,33.64581083688113,84.20549940002903,1.68,1.5020000000000002,0,0,0.4375,1.7777777777777777,23095.210632517403,0.4975124378109453
N017,1997-09-24,0,5,112.181,66.66962,0.8856498631019488,0.7085306275836152,0,0.0,0.0,1,42.01065494666576,79.69696610931035,3.33,1.85,0,0,0.45,1.8181818181818181,23095.210632517403,0.4975124378109453
F029,2011-07-13,1,5,115.968,104.25652,0.8904815590272186,0.8715735223063295,0,0.0,0.0,1,37.81537615238675,118.09277401556092,1.76,1.582,0,1,0.4625,1.8604651162790697,23095.210632517403,0.4975124378109453
F003,1977-11-20,1,5,126.494,57.582179999999994,0.9035808235357276,0.6680839641380791,1,0.0035808235357276,0.0035808235357276,2,30.31415392923464,73.16489883537373,,,1,1,0.475,1.9047619047619047,23095.210632517403,0.4975124378109453
F002,1976-07-20,1,5,131.804,115.3104,0.90927148762549,0.8889568905352444,1,0.0092714876254899,0.0092714876254899,1,33.4922844505635,110.53495691816676,,,1,1,0.4875,1.9512195121951221,23095.210632517403,0.4975124378109453
F014,2001-05-22,1,5,144.913,77.46369999999999,0.9216191549900682,0.6510871315831858,1,0.0216191549900681,0.0216191549900681,0,51.29377792032142,72.05520973923947,2.88,2.226,1,1,0.5,2.0,23095.210632517403,0.4975124378109453
N027,2011-07-08,0,5,155.391,116.97684,0.9307993772480808,0.8859719761636334,2,0.0307993772480806,0.0383529285445857,-2,15.459700635504896,157.60906516606823,1.97,1.5539999999999998,2,0,0.5125,2.051282051282051,23376.75643706051,0.4866330961679925
N009,1986-06-29,0,5,155.454,109.40529999999998,0.9308530627583615,0.8685886079347185,2,0.0308530627583615,0.0364739356847586,-2,54.1525189963551,104.0602059761026,2.25,1.768,2,0,0.525,2.1052631578947367,23661.734470099746,0.4759916582749536
F027,2010-09-28,1,5,165.107,143.8844,0.9368121543995276,0.9187523487410748,4,0.0368121543995275,0.1065013152950018,0,36.10999585306624,134.71242362886537,2.95,2.188,4,1,0.5375,2.162162162162162,24095.728614846783,0.460464221990855
N036,2018-09-12,0,5,179.54,107.42114,0.9460997476781016,0.7904654533741343,2,0.0460997476781016,0.0730874536962473,1,69.37354427204686,98.0510165038052,2.44,1.944,2,0,0.55,2.2222222222222223,24389.471391514417,0.450395031344211
F036,2020-09-04,1,5,183.845,89.0051,0.9483008535996136,0.7899500724754389,1,0.0483008535996134,0.0483008535996134,2,61.6596967867384,108.27124876976964,2.77,1.7420000000000002,1,1,0.5625,2.2857142857142856,24836.81339811027,0.4357025886715453
