storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_max_mm,RH2M,WS2M,storm_max_wind_kt
0,0.4607836228756117,9.24810676933973,0,0.0,0.1427496721336132,35.35,2.66,0
0,2.204085781523392,10.944423908686682,0,0.0,0.7146975654136939,67.06,2.38,0
0,1.9111747706365625,9.092207641459773,0,0.0,0.0817823993741719,67.08,2.45,0
0,1.1649124391346533,9.862027659832204,0,0.0,0.5351475502460268,60.35,2.96,0
0,2.727549208229279,9.142110987040128,0,0.0,0.5466795028396598,62.83,2.21,0
0,0.9334271424249332,8.851836240900006,0,0.0,0.2605099077750879,55.32,2.0,0
0,0.0974490955633657,8.492675842721368,0,0.0,0.001108228490374,39.28,2.47,0
0,1.1339352793369333,7.228442414570213,0,0.0,0.3992701263511807,68.36,1.62,0
0,2.5894983289705378,11.563776701384334,0,0.0,1.806631746929094,66.61,2.68,0
0,2.101034382335258,10.840186788782477,0,0.0,1.438831138350786,47.28,2.07,0
0,0.1934889073833757,6.984341152598854,0,0.0,0.1880701503669205,59.06,1.37,0
0,3.27870845760146,8.86057404497241,0,0.0,0.7899190266822158,58.13,2.51,0
0,0.0099244323598289,6.326164831024469,0,0.0,0.0013276025726356,56.98,1.41,0
0,2.923209028259014,9.064268488301977,0,0.0,1.432206639525334,57.51,2.25,0
0,2.8068111110626415,11.286450206877667,0,0.0,0.8693439813656738,66.02,2.3,0
0,2.210427752782126,10.301223832709994,0,0.0,1.327936291775573,73.54,2.75,0
0,2.771124323066726,11.90102793651084,0,0.0,0.7632952525494374,66.93,1.96,0
0,0.2680459872551348,7.732555396206934,0,0.0,0.013524788790387,77.25,1.28,0
0,0.6199047003776431,9.384901011227765,0,0.0,0.4152912301285222,51.39,2.57,0
0,0.3175453357344437,9.340910048064607,0,0.0,0.0811934139908047,69.59,1.56,0
0,6.9224262364866025,14.660734114698894,0,0.0,4.433693316154546,55.77,2.51,0
0,0.0217917094829187,9.01081973529631,0,0.0,0.0182778805524947,58.49,2.01,0
0,1.2305518698247802,10.252699926448187,0,0.0,0.0133061303322777,67.94,1.58,0
0,2.091454243294638,9.543263023843094,0,0.0,0.3812735432564433,39.0,2.75,0
0,0.7657205951428965,12.11578863485913,0,0.0,0.1004933692111319,66.02,2.27,0
0,0.5187305453761374,7.547712500547961,0,0.0,0.0,60.42,1.26,0
0,2.697729970891138,15.651173945247944,0,0.0,1.095160231272552,60.95,1.8,0
0,2.0243385789266517,10.255777899219568,0,0.0,0.4989504477954153,56.45,2.16,0
0,0.5874604371368853,9.435853161500342,0,0.0,0.001108228490374,42.03,1.93,0
0,0.7708687074303117,8.71299182872772,0,0.0,0.2937073057941139,78.48,1.44,0
0,0.0085968297871932,7.027596920502036,0,0.0,0.0085968297871932,62.09,1.11,0
0,2.71473749183299,10.703488088877506,0,0.0,0.4438899041356349,48.66,2.54,0
0,0.7760821762683341,10.372602451428726,0,0.0,0.4671178984724154,52.66,2.33,0
0,1.2074665383486796,10.710891148781332,0,0.0,0.096343658390242,69.77,2.31,0
0,1.8838205643719743,12.18462145127216,0,0.0,0.7668629620921504,68.07,1.88,0
0,5.541496217734604,10.564554284219389,0,0.0,2.5298433262959445,63.64,2.19,0
0,1.8473233715785564,10.77774279197508,0,0.0,1.4734744543991212,74.51,2.46,0
0,2.7720285751440423,9.160283981472016,0,0.0,1.2229413814191012,66.63,2.29,0
0,1.0388964998491412,16.628273886014945,0,0.0,0.2295409868777696,60.98,1.22,50
0,1.2453011739573838,11.39122567528516,0,0.0,0.4509062567544146,75.54,1.52,0
